??,??(V),??(A),??(W),??(Hz),????,??,??
182,220.74,0.346,68.62,50.04,0.898,8:50:38 PM:305,1
183,220.68,0.351,68.32,50.03,0.882,8:50:38 PM:680,1
184,220.55,0.300,57.76,50.04,0.873,8:50:39 PM:071,1
185,220.73,0.309,59.73,50.05,0.876,8:50:39 PM:461,1
186,220.78,0.293,55.74,50.03,0.862,8:50:39 PM:836,1
187,220.72,0.304,57.88,50.03,0.863,8:50:40 PM:227,1
188,220.81,0.288,54.95,50.04,0.864,8:50:40 PM:617,1
189,220.62,0.227,39.66,50.04,0.792,8:50:40 PM:992,1
190,220.62,0.265,47.62,50.05,0.815,8:50:41 PM:383,1
191,220.65,0.254,43.41,50.04,0.775,8:50:41 PM:758,1
192,220.85,0.248,43.67,50.06,0.797,8:50:42 PM:148,1
193,220.85,0.226,38.61,50.04,0.773,8:50:42 PM:523,1
194,220.76,0.246,38.21,50.05,0.704,8:50:42 PM:914,1
195,220.81,0.282,49.07,50.06,0.788,8:50:43 PM:288,1
196,220.69,0.347,61.25,50.04,0.800,8:50:43 PM:679,1
197,220.70,0.226,40.14,50.04,0.805,8:50:44 PM:069,1
198,220.74,0.309,59.19,50.05,0.868,8:50:44 PM:445,1
199,220.70,0.191,30.59,50.03,0.726,8:50:44 PM:820,1
200,220.69,0.214,33.24,50.05,0.704,8:50:45 PM:194,1
201,220.77,0.237,41.38,50.04,0.791,8:50:45 PM:569,1
202,220.81,0.244,42.09,50.05,0.781,8:50:45 PM:944,1
203,220.82,0.253,44.14,50.02,0.790,8:50:46 PM:335,1
204,220.70,0.312,60.26,50.06,0.875,8:50:46 PM:710,1
205,220.84,0.310,51.46,50.05,0.752,8:50:47 PM:100,1
206,220.75,0.285,51.61,50.04,0.820,8:50:47 PM:491,1
207,220.76,0.196,31.03,50.03,0.717,8:50:47 PM:866,1
208,220.80,0.233,39.14,50.05,0.761,8:50:48 PM:241,1
209,220.68,0.202,33.70,50.03,0.756,8:50:48 PM:615,1
210,220.66,0.232,39.96,50.04,0.781,8:50:48 PM:990,1
211,220.64,0.275,35.14,50.04,0.579,8:50:49 PM:365,1
212,220.60,0.232,38.75,50.04,0.757,8:50:49 PM:740,1
213,220.64,0.214,36.19,50.05,0.766,8:50:50 PM:115,1
214,220.69,0.202,33.96,50.03,0.762,8:50:50 PM:490,1
215,220.69,0.228,36.67,50.03,0.729,8:50:50 PM:865,1
216,220.71,0.225,36.76,50.03,0.740,8:50:51 PM:240,1
217,220.66,0.223,36.50,50.03,0.742,8:50:51 PM:615,1
218,220.66,0.292,53.87,50.04,0.836,8:50:51 PM:990,1
219,220.70,0.214,34.39,50.03,0.728,8:50:52 PM:365,1
220,220.63,0.254,36.26,50.06,0.647,8:50:52 PM:755,1
221,220.73,0.224,36.98,50.03,0.748,8:50:53 PM:130,1
222,220.68,0.227,39.01,50.04,0.779,8:50:53 PM:505,1
223,220.62,0.217,34.75,50.04,0.726,8:50:53 PM:880,1
224,220.62,0.229,38.69,50.04,0.766,8:50:54 PM:255,1
225,220.68,0.207,32.42,50.05,0.710,8:50:54 PM:630,1
226,220.72,0.214,37.45,50.02,0.793,8:50:55 PM:005,1
227,220.79,0.212,34.64,50.03,0.740,8:50:55 PM:411,1
228,220.75,0.232,39.93,50.03,0.780,8:50:55 PM:786,1
229,220.81,0.203,33.00,50.03,0.736,8:50:56 PM:161,1
230,220.77,0.225,39.92,50.02,0.804,8:50:56 PM:535,1
231,220.68,0.230,37.50,50.03,0.739,8:50:56 PM:910,1
232,220.72,0.245,39.97,50.02,0.739,8:50:57 PM:285,1
233,220.65,0.231,38.50,50.04,0.755,8:50:57 PM:676,1
234,220.81,0.187,30.64,50.04,0.742,8:50:58 PM:051,1
235,220.77,0.230,38.00,50.04,0.748,8:50:58 PM:426,1
236,220.72,0.219,22.84,50.03,0.473,8:50:58 PM:801,1
237,220.71,0.221,35.89,50.03,0.736,8:50:59 PM:175,1
238,220.67,0.189,31.09,50.03,0.746,8:50:59 PM:550,1
239,220.77,0.228,37.82,50.03,0.751,8:50:59 PM:925,1
240,220.72,0.194,24.25,50.02,0.566,8:51:00 PM:300,1
241,220.80,0.229,37.61,50.02,0.744,8:51:00 PM:675,1
242,220.80,0.206,33.56,50.02,0.738,8:51:01 PM:050,1
