??,??(V),??(A),??(W),??(Hz),????,??,??
315,218.60,0.391,73.07,50.02,0.855,8:07:40 PM:755,1
316,218.54,0.388,72.51,50.02,0.855,8:07:41 PM:127,1
317,218.38,0.370,73.37,50.02,0.908,8:07:41 PM:503,1
318,218.48,0.352,65.69,50.01,0.854,8:07:41 PM:878,1
319,218.57,0.295,54.00,50.02,0.838,8:07:42 PM:253,1
320,218.38,0.332,62.50,50.01,0.862,8:07:42 PM:626,1
321,218.56,0.358,70.44,50.02,0.900,8:07:43 PM:000,1
322,218.60,0.318,61.35,50.02,0.883,8:07:43 PM:373,1
323,218.46,0.354,69.05,50.02,0.893,8:07:43 PM:735,1
324,218.54,0.346,66.73,50.01,0.883,8:07:44 PM:122,1
325,218.45,0.366,72.76,50.02,0.910,8:07:44 PM:498,1
326,218.34,0.336,65.57,50.01,0.894,8:07:44 PM:872,1
327,218.37,0.369,72.53,50.02,0.900,8:07:45 PM:246,1
328,218.35,0.409,69.54,50.02,0.779,8:07:45 PM:622,1
329,218.50,0.294,54.28,50.02,0.845,8:07:45 PM:994,1
330,218.52,0.345,61.82,50.04,0.820,8:07:46 PM:370,1
331,218.51,0.337,57.31,50.03,0.778,8:07:46 PM:745,1
332,218.74,0.333,64.09,50.03,0.880,8:07:47 PM:119,1
333,218.61,0.379,75.38,50.02,0.910,8:07:47 PM:498,1
334,218.52,0.345,62.20,50.00,0.825,8:07:47 PM:872,1
335,218.72,0.314,58.99,50.01,0.859,8:07:48 PM:247,1
336,218.67,0.286,52.72,50.05,0.843,8:07:48 PM:623,1
337,218.67,0.352,69.42,50.00,0.902,8:07:48 PM:999,1
338,218.71,0.331,64.83,50.04,0.896,8:07:49 PM:372,1
339,218.55,0.343,66.79,50.02,0.891,8:07:49 PM:742,1
340,218.47,0.289,53.81,50.03,0.852,8:07:50 PM:116,1
341,218.42,0.304,57.34,50.03,0.864,8:07:50 PM:488,1
342,218.39,0.349,68.23,50.03,0.895,8:07:50 PM:863,1
343,218.48,0.312,58.06,50.04,0.852,8:07:51 PM:239,1
344,218.30,0.335,64.92,50.02,0.888,8:07:51 PM:613,1
345,218.53,0.292,54.17,50.03,0.849,8:07:52 PM:001,1
346,218.64,0.316,58.75,50.02,0.850,8:07:52 PM:374,1
347,218.47,0.319,61.71,50.03,0.885,8:07:52 PM:749,1
348,218.72,0.355,68.98,50.04,0.888,8:07:53 PM:125,1
349,218.63,0.344,65.39,50.02,0.869,8:07:53 PM:499,1
350,218.40,0.331,62.47,50.02,0.864,8:07:53 PM:875,1
351,218.38,0.322,60.76,50.02,0.864,8:07:54 PM:249,1
352,218.41,0.308,55.78,50.03,0.829,8:07:54 PM:622,1
353,218.52,0.588,67.45,50.01,0.525,8:07:54 PM:997,1
354,218.35,0.324,61.60,50.02,0.871,8:07:55 PM:371,1
355,218.27,0.360,70.35,50.03,0.895,8:07:55 PM:747,1
356,218.57,0.384,76.48,50.01,0.911,8:07:56 PM:120,1
357,218.54,0.350,68.50,50.03,0.896,8:07:56 PM:491,1
358,218.63,0.325,60.68,50.02,0.854,8:07:56 PM:866,1
359,218.70,0.363,70.61,50.04,0.889,8:07:57 PM:240,1
360,218.55,0.343,67.38,50.04,0.899,8:07:57 PM:616,1
361,218.74,0.356,69.56,50.02,0.893,8:07:57 PM:993,1
362,218.70,0.399,80.13,50.02,0.918,8:07:58 PM:370,1
363,218.58,0.354,63.95,50.03,0.826,8:07:58 PM:742,1
364,218.76,0.329,62.37,50.03,0.867,8:07:59 PM:130,1
365,218.78,0.302,54.41,50.01,0.823,8:07:59 PM:506,1
366,218.64,0.335,62.82,50.02,0.858,8:07:59 PM:892,1
367,218.67,0.305,56.31,50.03,0.844,8:08:00 PM:265,1
368,218.55,0.338,61.02,50.04,0.826,8:08:00 PM:641,1
369,218.66,0.372,73.15,50.03,0.899,8:08:01 PM:016,1
370,218.50,0.386,76.38,50.04,0.906,8:08:01 PM:391,1
371,218.48,0.292,55.29,50.03,0.867,8:08:01 PM:765,1
372,218.81,0.333,65.34,50.01,0.897,8:08:02 PM:139,1
373,218.67,0.368,73.00,50.05,0.907,8:08:02 PM:514,1
374,218.66,0.341,64.10,50.03,0.860,8:08:02 PM:884,1
375,218.69,0.397,76.86,50.03,0.885,8:08:03 PM:261,1
376,218.40,0.253,44.13,50.02,0.799,8:08:03 PM:634,1
377,218.24,0.282,52.48,50.01,0.853,8:08:04 PM:008,1
378,218.37,0.343,67.08,50.02,0.896,8:08:04 PM:382,1
379,218.35,0.337,65.12,50.04,0.885,8:08:04 PM:769,1
380,218.47,0.331,61.93,50.03,0.856,8:08:05 PM:146,1
381,218.24,0.418,79.46,50.02,0.871,8:08:05 PM:521,1
382,218.43,0.330,64.49,50.05,0.895,8:08:05 PM:897,1
383,218.55,0.386,76.07,50.02,0.902,8:08:06 PM:270,1
384,218.41,0.347,66.35,50.02,0.875,8:08:06 PM:659,1
385,218.31,0.358,70.13,50.03,0.897,8:08:07 PM:021,1
386,218.29,0.406,80.26,50.03,0.906,8:08:07 PM:410,1
387,218.40,0.306,58.94,50.02,0.882,8:08:07 PM:782,1
388,218.56,0.340,66.59,50.03,0.896,8:08:08 PM:155,1
389,218.42,0.290,52.87,50.03,0.835,8:08:08 PM:531,1
390,218.43,0.338,65.75,50.03,0.891,8:08:08 PM:906,1
391,218.52,0.727,77.18,50.04,0.486,8:08:09 PM:279,1
392,218.53,0.379,74.61,50.03,0.901,8:08:09 PM:656,1
393,218.68,0.289,54.21,50.03,0.858,8:08:10 PM:029,1
