??,??(V),??(A),??(W),??(Hz),????,??,??
337,220.82,0.466,96.45,50.00,0.937,9:53:19 PM:390,1
338,220.83,0.469,97.22,49.99,0.939,9:53:19 PM:771,1
339,220.86,0.467,96.73,50.02,0.938,9:53:20 PM:149,1
340,220.87,0.468,97.02,50.01,0.939,9:53:20 PM:528,1
341,220.85,0.489,101.66,50.01,0.941,9:53:20 PM:909,1
342,220.88,0.472,97.83,50.00,0.938,9:53:21 PM:287,1
343,220.68,0.469,97.17,50.01,0.939,9:53:21 PM:667,1
344,220.66,0.460,95.04,49.98,0.936,9:53:22 PM:041,1
345,220.75,0.475,98.54,49.98,0.940,9:53:22 PM:422,1
346,220.78,0.475,98.51,49.98,0.939,9:53:22 PM:801,1
347,220.61,0.458,94.62,49.99,0.936,9:53:23 PM:179,1
348,220.67,0.462,95.48,50.00,0.937,9:53:23 PM:555,1
349,220.55,0.469,97.10,50.00,0.939,9:53:23 PM:932,1
350,220.63,0.483,100.29,50.00,0.941,9:53:24 PM:307,1
351,220.64,0.472,97.77,49.99,0.939,9:53:24 PM:686,1
352,220.62,0.479,99.40,49.99,0.941,9:53:25 PM:066,1
353,220.53,0.482,100.07,50.01,0.941,9:53:25 PM:444,1
354,220.54,0.481,99.82,49.98,0.941,9:53:25 PM:825,1
355,220.49,0.488,101.39,49.98,0.942,9:53:26 PM:204,1
356,220.53,0.418,85.36,49.99,0.926,9:53:26 PM:585,1
357,220.57,0.436,88.91,49.99,0.925,9:53:26 PM:962,1
358,220.45,0.459,94.81,49.99,0.937,9:53:27 PM:341,1
359,220.34,0.470,97.21,49.97,0.939,9:53:27 PM:720,1
360,220.29,0.474,98.00,49.98,0.938,9:53:28 PM:099,1
361,220.36,0.468,96.70,49.97,0.938,9:53:28 PM:475,1
362,220.50,0.462,95.53,49.98,0.938,9:53:28 PM:865,1
363,220.42,0.470,97.16,49.98,0.938,9:53:29 PM:246,1
364,220.41,0.471,97.51,49.99,0.939,9:53:29 PM:623,1
365,220.36,0.467,96.57,49.98,0.938,9:53:29 PM:998,1
366,220.38,0.461,95.20,49.97,0.937,9:53:30 PM:377,1
367,220.39,0.473,97.93,49.98,0.939,9:53:30 PM:755,1
368,220.51,0.473,98.01,49.96,0.940,9:53:31 PM:145,1
369,220.55,0.476,98.69,49.98,0.940,9:53:31 PM:534,1
370,220.44,0.479,99.27,49.96,0.940,9:53:31 PM:914,1
371,220.42,0.475,98.32,49.99,0.939,9:53:32 PM:292,1
372,220.63,0.473,98.00,49.97,0.939,9:53:32 PM:664,1
373,220.69,0.468,96.85,49.98,0.938,9:53:33 PM:043,1
374,220.64,0.459,94.84,49.97,0.936,9:53:33 PM:420,1
375,220.69,0.477,98.94,49.97,0.940,9:53:33 PM:798,1
376,220.68,0.467,96.70,49.97,0.938,9:53:34 PM:163,1
377,220.81,0.467,96.68,49.97,0.938,9:53:34 PM:545,1
378,220.77,0.458,94.66,49.97,0.936,9:53:34 PM:925,1
379,220.82,0.474,98.31,49.96,0.939,9:53:35 PM:304,1
380,220.83,0.468,96.98,49.97,0.938,9:53:35 PM:684,1
381,220.73,0.478,99.20,49.97,0.940,9:53:36 PM:063,1
382,220.90,0.483,100.35,49.97,0.941,9:53:36 PM:440,1
383,221.01,0.450,92.89,49.95,0.934,9:53:36 PM:816,1
384,221.05,0.466,96.56,49.97,0.937,9:53:37 PM:205,1
385,221.04,0.411,83.69,49.97,0.921,9:53:37 PM:582,1
386,221.04,0.467,96.67,49.96,0.937,9:53:37 PM:961,1
387,221.01,0.434,89.27,49.96,0.931,9:53:38 PM:340,1
388,220.97,0.451,93.11,49.97,0.934,9:53:38 PM:720,1
389,220.99,0.432,88.84,49.97,0.931,9:53:39 PM:085,1
390,221.13,0.449,92.58,49.97,0.932,9:53:39 PM:463,1
391,220.90,0.430,88.38,49.97,0.930,9:53:39 PM:841,1
392,220.89,0.446,91.82,49.97,0.932,9:53:40 PM:208,1
393,221.01,0.435,89.42,49.98,0.930,9:53:40 PM:585,1
394,220.92,0.449,92.38,49.98,0.931,9:53:40 PM:963,1
395,220.98,0.438,90.12,49.98,0.931,9:53:41 PM:341,1
396,220.97,0.463,95.69,49.96,0.935,9:53:41 PM:720,1
397,220.97,0.434,89.32,49.98,0.931,9:53:42 PM:083,1
