??,??(V),??(A),??(W),??(Hz),????,??,??
278,219.51,0.281,52.63,49.98,0.853,7:30:56 PM:848,1
279,219.51,0.245,28.12,49.98,0.523,7:30:57 PM:223,1
280,219.34,0.263,41.86,49.98,0.726,7:30:57 PM:597,1
281,219.35,0.190,30.51,49.97,0.732,7:30:57 PM:977,1
282,219.37,0.220,37.76,49.98,0.782,7:30:58 PM:350,1
283,219.24,0.172,27.16,49.98,0.720,7:30:58 PM:735,1
284,219.19,0.237,41.45,49.98,0.798,7:30:59 PM:106,1
285,219.27,0.245,44.24,49.96,0.824,7:30:59 PM:480,1
286,219.11,0.245,44.19,49.97,0.823,7:30:59 PM:852,1
287,219.14,0.310,59.75,49.97,0.880,7:31:00 PM:243,1
288,219.22,0.245,40.56,49.98,0.755,7:31:00 PM:617,1
289,219.10,0.173,26.59,49.97,0.702,7:31:00 PM:992,1
290,219.27,0.234,38.58,49.99,0.752,7:31:01 PM:367,1
291,219.22,0.196,32.67,49.97,0.760,7:31:01 PM:740,1
292,219.08,0.275,46.44,49.97,0.771,7:31:02 PM:114,1
293,219.12,0.193,30.13,49.97,0.713,7:31:02 PM:488,1
294,219.03,0.267,42.56,49.97,0.728,7:31:02 PM:877,1
295,219.01,0.219,36.25,49.98,0.756,7:31:03 PM:249,1
296,219.14,0.212,35.38,49.99,0.761,7:31:03 PM:622,1
297,219.18,0.211,33.98,49.98,0.735,7:31:03 PM:997,1
298,219.26,0.220,36.59,49.98,0.759,7:31:04 PM:371,1
299,219.26,0.175,27.06,49.98,0.705,7:31:04 PM:743,1
300,219.20,0.208,34.90,49.97,0.765,7:31:05 PM:115,1
301,219.35,0.204,35.00,49.97,0.782,7:31:05 PM:488,1
302,219.34,0.219,36.29,49.97,0.756,7:31:05 PM:862,1
303,219.42,0.234,36.63,49.97,0.713,7:31:06 PM:250,1
304,219.51,0.259,43.43,49.97,0.764,7:31:06 PM:623,1
305,219.38,0.342,67.24,49.98,0.896,7:31:07 PM:001,1
306,219.42,0.218,37.36,49.98,0.781,7:31:07 PM:375,1
307,219.32,0.316,29.40,49.98,0.424,7:31:07 PM:749,1
308,219.51,0.286,37.64,49.97,0.600,7:31:08 PM:121,1
309,219.50,0.244,42.50,49.99,0.794,7:31:08 PM:497,1
310,219.40,0.210,35.92,49.97,0.780,7:31:08 PM:867,1
311,219.43,0.200,32.89,49.98,0.749,7:31:09 PM:243,1
312,219.54,0.211,34.21,49.99,0.739,7:31:09 PM:620,1
313,219.51,0.311,32.35,49.97,0.474,7:31:09 PM:992,1
314,219.60,0.215,36.82,49.96,0.780,7:31:10 PM:365,1
315,219.54,0.203,33.15,49.98,0.744,7:31:10 PM:738,1
316,219.51,0.234,40.56,49.98,0.790,7:31:11 PM:114,1
317,219.76,0.192,30.72,49.98,0.728,7:31:11 PM:488,1
318,219.67,0.235,39.24,49.98,0.760,7:31:11 PM:862,1
319,219.52,0.267,49.31,49.97,0.841,7:31:12 PM:251,1
320,219.52,0.219,37.10,49.98,0.772,7:31:12 PM:626,1
321,219.39,0.311,60.08,49.99,0.881,7:31:12 PM:999,1
322,219.39,0.333,65.20,49.96,0.892,7:31:13 PM:376,1
323,219.49,0.258,47.81,49.99,0.844,7:31:13 PM:753,1
324,219.53,0.308,58.66,49.99,0.867,7:31:14 PM:141,1
325,219.61,0.305,58.58,49.97,0.875,7:31:14 PM:515,1
326,219.49,0.345,67.90,49.98,0.897,7:31:14 PM:889,1
327,219.42,0.298,50.26,49.98,0.769,7:31:15 PM:262,1
328,219.54,0.429,38.11,49.98,0.405,7:31:15 PM:635,1
329,219.37,0.223,37.46,49.99,0.766,7:31:16 PM:008,1
330,219.34,0.207,35.55,49.98,0.783,7:31:16 PM:382,1
331,219.46,0.197,31.68,50.00,0.733,7:31:16 PM:754,1
332,219.40,0.245,43.97,49.99,0.818,7:31:17 PM:131,1
333,219.33,0.350,68.08,49.99,0.887,7:31:17 PM:508,1
334,219.37,0.359,70.58,49.98,0.896,7:31:17 PM:895,1
335,219.46,0.192,31.86,49.98,0.756,7:31:18 PM:269,1
336,219.36,0.221,35.20,49.98,0.726,7:31:18 PM:659,1
337,219.31,0.361,41.02,49.99,0.518,7:31:19 PM:034,1
338,219.44,0.368,42.09,49.99,0.521,7:31:19 PM:425,1
339,219.39,0.265,46.84,49.99,0.806,7:31:19 PM:799,1
340,219.44,0.285,47.51,50.00,0.760,7:31:20 PM:190,1
341,219.50,0.281,45.07,49.98,0.731,7:31:20 PM:567,1
342,219.40,0.263,32.75,49.99,0.568,7:31:20 PM:941,1
343,219.37,0.283,52.90,49.98,0.852,7:31:21 PM:316,1
344,219.28,0.367,71.46,50.00,0.888,7:31:21 PM:707,1
345,219.27,0.326,63.08,49.99,0.882,7:31:22 PM:082,1
346,219.42,0.298,57.11,49.99,0.873,7:31:22 PM:463,1
347,219.40,0.287,53.67,49.99,0.852,7:31:22 PM:839,1
348,219.39,0.284,51.97,49.98,0.834,7:31:23 PM:230,1
349,219.42,0.214,34.08,49.99,0.726,7:31:23 PM:620,1
350,219.23,0.231,38.52,49.98,0.761,7:31:23 PM:993,1
351,219.21,0.234,38.17,49.99,0.744,7:31:24 PM:374,1
352,219.23,0.169,25.48,50.00,0.688,7:31:24 PM:748,1
353,219.17,0.218,35.53,50.00,0.744,7:31:25 PM:123,1
354,219.14,0.181,29.38,49.97,0.741,7:31:25 PM:498,1
355,219.09,0.211,33.77,49.98,0.730,7:31:25 PM:872,1
356,219.23,0.179,29.17,50.01,0.743,7:31:26 PM:247,1
357,219.02,0.200,31.89,50.00,0.728,7:31:26 PM:622,1
358,219.18,0.255,33.54,49.99,0.600,7:31:26 PM:997,1
359,219.15,0.293,43.80,49.98,0.682,7:31:27 PM:371,1
360,219.18,0.186,29.97,49.99,0.735,7:31:27 PM:744,1
361,219.22,0.211,36.02,49.99,0.779,7:31:28 PM:116,1
362,219.15,0.275,44.74,49.99,0.742,7:31:28 PM:491,1
363,218.95,0.340,59.98,49.99,0.806,7:31:28 PM:867,1
364,219.33,0.176,27.99,50.00,0.725,7:31:29 PM:238,1
365,219.19,0.323,58.81,49.99,0.831,7:31:29 PM:629,1
366,219.36,0.229,38.94,49.99,0.775,7:31:30 PM:004,1
367,219.43,0.229,39.68,49.99,0.790,7:31:30 PM:378,1
368,219.32,0.246,26.65,50.00,0.494,7:31:30 PM:768,1
369,219.39,0.310,59.08,50.00,0.869,7:31:31 PM:128,1
370,219.44,0.331,57.82,50.00,0.796,7:31:31 PM:504,1
371,219.54,0.224,37.66,49.99,0.766,7:31:31 PM:892,1
372,219.44,0.333,38.37,50.00,0.525,7:31:32 PM:265,1
373,219.43,0.228,36.85,50.00,0.736,7:31:32 PM:641,1
374,219.46,0.175,26.52,50.02,0.691,7:31:33 PM:015,1
375,219.41,0.229,40.24,50.01,0.801,7:31:33 PM:388,1
376,219.61,0.191,31.69,50.02,0.756,7:31:33 PM:762,1
377,219.54,0.223,36.68,49.99,0.749,7:31:34 PM:137,1
378,219.65,0.279,35.09,50.01,0.573,7:31:34 PM:503,1
379,219.57,0.339,62.52,50.01,0.840,7:31:34 PM:879,1
380,219.67,0.277,52.09,50.01,0.856,7:31:35 PM:253,1
381,219.77,0.287,54.39,50.03,0.862,7:31:35 PM:629,1
382,219.78,0.276,51.77,50.01,0.853,7:31:36 PM:004,1
383,219.73,0.296,56.13,50.01,0.863,7:31:36 PM:379,1
384,219.51,0.284,53.74,50.01,0.862,7:31:36 PM:768,1
385,219.60,0.284,53.28,50.01,0.854,7:31:37 PM:158,1
386,219.66,0.213,34.21,50.02,0.731,7:31:37 PM:549,1
387,219.67,0.245,42.79,50.01,0.795,7:31:37 PM:939,1
388,219.62,0.300,57.57,50.02,0.874,7:31:38 PM:314,1
389,219.54,0.305,58.13,50.03,0.868,7:31:38 PM:689,1
390,219.53,0.218,36.22,50.01,0.757,7:31:39 PM:071,1
391,219.64,0.302,55.15,50.02,0.831,7:31:39 PM:446,1
392,219.76,0.199,33.80,50.02,0.773,7:31:39 PM:821,1
393,219.83,0.203,34.27,50.03,0.768,7:31:40 PM:196,1
394,219.86,0.224,35.51,50.03,0.721,7:31:40 PM:586,1
395,219.71,0.241,42.06,50.03,0.794,7:31:40 PM:961,1
396,219.80,0.201,33.34,50.02,0.755,7:31:41 PM:336,1
397,219.73,0.219,37.18,50.03,0.773,7:31:41 PM:711,1
